,index,Name1,Name2,Street1,Street2,City,State,Zip,Phone,Intake1,Intake2,Intake1a,Intake2a,Service_code_info,lat,long
2018,2096,Pathways Center,Heard County MH/AD,1206 Franklin Parkway,,Franklin,GA,30217,706-675-6399,,,,,SA MH SUMH * OP * OMH * HALOP CLOZA RISPE ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON WI * PVTN * CLF MC MD PI SF SI SMHA VAF * PA SS * TAY CO SED * STU * SMPD * CHLD YAD ADLT SNR * AH SP * VPPD * COOT SEMP CM SPS,33.315841800769235,-85.12014109692308
2019,2097,Avita Community Partners,Youth Services,915 Interstate Ridge Drive,Suite C,Gainesville,GA,30501,678-207-2950,,,,,SA MH SUMH * OP * CMHC * AT CBT CFT DBT GT IDD IPT TELE * WI * LCCG * CLF CSBG MD OSF SCJJ SF SI * PA SS * CJ CO TRMA SED * STU * MST LABT * SMPD * CHLD * AH * VPPD * COOT DEC FPSY PRS SEMP VRS SPS ES,34.307258061830744,-83.82109859810018
2020,2098,Health Connect America,,3030 McEver Road,Suite 100,Gainesville,GA,30504,470-691-0088,,,,,SA MH SUMH * OP * OMH * AT CBT CFT DBT GT IDD IPT TELE * CIT * PVTP * MD PI SF SMHA SWFS * SS * TAY SE VET MF CO TRMA PED PTSD * SMON * CHLD YAD ADLT SNR * SP * VAPN * COOT FPSY TPC CM SPS,34.2636588847185,-83.88289845120643
2021,2099,Advantage Behavioral Health Systems,Greene County Mental Health Center,1040 Silver Road,,Greensboro,GA,30642,888-333-9544,855-333-9544 x1,,,,SA MH SUMH * OP PHDT RES * CMHC MSMH * CHLOR FLUPH HALOP LOXAP PERPH TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEON WI * STG * MC MD MI PI SF SI SMHA * PA SS * TAY VET CJ CO TRMA PEFP SMI * STU * HIVT MST LABT * HS PEER * TCC * SMON * CHLD YAD ADLT SNR * AH * VAPN * ACT AOT CDM COOT DEC FPSY IMR PRS SEMP SH VRS CM IPC SPS ES,33.52486353186813,-83.20002186336997
2022,2100,Pathways Center,Meriwether County MH/AD,756 Woodbury Road,,Greenville,GA,30222,706-672-1118,,888-247-9048,,,SA MH SUMH * OP * OMH * HALOP CLOZA RISPE ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON WI * STG * CLF CSBG MC MD OSF PI SCJJ SEF SF SI SMHA SWFS VAF * SS * TAY SE GL VET ADM MF CJ CO HV TRMA TBI ALZ PED PTSD SED SMI * STU * HIVT STDT TBS MST LABT * HS PEER * TCC * SMPD * CHLD YAD ADLT SNR * AH SP * VPPD * COOT DEC FPSY PRS SEMP SH CM SPS ES,33.038028384444445,-84.71786896
2023,2101,Pathways Center,Spalding,1710 GA Highway 16 West,,Griffin,GA,30223,678-854-2041,770-229-3407,,,,SA MH SUMH * OP * OMH * HALOP CLOZA RISPE ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON WI * STG * CLF CSBG MC MD OSF PI SCJJ SEF SF SI SMHA SWFS VAF * SS * TAY SE GL VET ADM MF CJ CO HV TRMA TBI ALZ PED PTSD SED SMI * STU * HIVT STDT TBS MST LABT * HS PEER * TCC * SMPD * CHLD YAD ADLT SNR * AH * VPPD * COOT DEC FPSY PRS SH CM SPS ES,33.26787557284768,-84.2692353429139
2024,2102,Pine Woods Behavioral Health,Crisis Center,1209 Greenbelt Drive,,Griffin,GA,30224,770-358-8338,770-358-8365,770-358-8370,,,SA MH SUMH * OP RES * RTCA * ANTPYCH * AT GT TELE AIM * CIT WI * STG * MD MI OSF SF * PA SS * STU * TCC * SMON * YAD ADLT SNR * AH * VAPP * CM,33.219795935294115,-84.25569242420814
2025,2103,Touch of Healing Counseling Services,First Assembly of God Inc,2000 West McIntosh Road,,Griffin,GA,30223,678-688-3133,,,,,MH * AT CBT CFT IPT TELE * PVTP * MD PI SF * SMON * CHLD YAD ADLT SNR * VAPN,33.26787557284768,-84.2692353429139
2026,2104,Avita Community Partners,Hartwell Service Center,228 North College Avenue,,Hartwell,GA,30643,706-376-4002,,,,,SA MH SUMH * OP * OMH * HALOP ARIPI LURAS OLANZ OLANZF QUETI RISPE ZIPRA ANTPYCH * CBT DBT GT IPT * CIT * LCCG * CLF CMHG MD MI SF SI SMHA * PA SS * STU * STDT TBS HBT * SMPD * CHLD YAD ADLT SNR * AH * VPPD * COOT FPSY PRS SEMP CM SPS,34.37487378613636,-82.92169128522727
2027,2105,Georgia Mountains Community Services,Avita Community Partners,228 North College Avenue,,Hartwell,GA,30643,706-376-4002,,,,,SA MH SUMH * OP * OMH * HALOP ARIPI LURAS OLANZ QUETI RISPE ANTPYCH * CBT CFT DBT GT IDD IPT * PEON WI * LCCG * CLF CSBG MD OSF SF SI * PA SS * VET MF CJ CO SED SMI * STU * MST LABT * HS PEER * SMPD * CHLD YAD ADLT SNR * AH * VPPD * COOT DEC FPSY PRS SEMP SH VRS CM SPS,34.37487378613636,-82.92169128522727
2028,2106,Jeff Davis Hospital,,163 South Tallahassee Street,,Hazlehurst,GA,31539,912-375-7781 x6445,912-699-6445,,,,SA MH SUMH * HI OP * IPSY * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL CLOZA QUETI RISPE NRT NSC ANTPYCH * AT CBT CFT GT IPT TELE AIM * CIT PEON * PVTN * CLF CMHG CSBG FG ITU MC MD MI OSF PI PCF SEF SF SI SMHA SWFS VAF * STU * HIVT STDT TBS MST HBT HCT LABT * PEER * TCC * SMON * YAD ADLT SNR * VAPN * AOT COOT DEC ICM CM SPS,31.85175876029724,-82.59177847537156
2029,2107,Gateway Behavioral Health Services,Liberty Outpatient Clinic,1113 East Oglethorpe Highway,,Hinesville,GA,31313,866-557-9955,,,,,SA MH SUMH * OP * OMH * HALOP ARIPI CLOZA OLANZ OLANZF QUETI RISPE ANTPYCH * CBT CFT GT IDD IPT TELE AIM * PEON * STG * CLF CMHG MC MD MI SCJJ SF SI SMHA SWFS VAF * PA SS * CO SMI * STU * HIVT TBS MST LABT * PEER * TCC * SMPD * CHLD YAD ADLT SNR * AH * VPPD * COOT FPSY PRS SEMP VRS CM SPS,31.827982082792662,-81.61837927700986
2030,2108,Unison Behavioral Health,Clinch County Site,551 Old Pearson Road,,Homerville,GA,31634,912-487-5234,800-342-8168,,,,SA MH SUMH * OP * OMH * CHLOR HALOP THIOR ANTPYCH * AT CBT CFT DBT EMDR GT IDD IPT TELE AIM * PEON WI * STG * CLF CMHG CSBG MC MD OSF PI SF SI SMHA SWFS * PA SS * TAY SE GL VET ADM MF CJ CO HV DV TRMA PED PEFP PTSD SED SMI * STU * HS PEER * TCC * SMON * CHLD YAD ADLT SNR * AH * VAPN * COOT DEC FPSY ICM PRS SEMP SH CM SPS ES,31.03779501630435,-82.75223241847826
2031,2109,Advantage Behavioral Health Systems,Jackson County Clinic,383 Stan Evans Drive,,Jefferson,GA,30549,855-333-9544,,,,,SA MH SUMH * OP PHDT RES * CMHC * CHLOR FLUPH HALOP LOXAP PERPH TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEON WI * STG * MC MD MI PI SF SI SMHA * PA SS * TAY VET CJ CO TRMA PEFP SMI * STU * HIVT MST LABT * HS PEER * TCC * SMON * CHLD YAD ADLT SNR * AH * VAPN * ACT AOT CDM COOT DEC FPSY IMR PRS SEMP SH VRS CM IPC SPS ES,34.10961412537765,-83.5783824510574
2032,2110,New Heights Behav Consultants LLC,,530 Parkwood Way,,Jonesboro,GA,30236,770-460-0970 x202,,770-460-0970 x201,,,SA MH SUMH * OP * OMH * ANTPYCH * AT CBT CFT DBT EMDR GT IDD IPT TELE AIM * PVTP * MD PI SF SWFS * TAY SE GL CJ CO HV TRMA PEFP PTSD SED SMI * STU * TBS LABT * SMPD * CHLD YAD ADLT SNR * FX * F28 * VPPD * COOT FPSY PRS CM IPC,33.54104646188481,-84.33052713340315
2033,2111,New Heights Behav Consultants LLC,,542 Parkwood Way,,Jonesboro,GA,30236,770-460-0970 x202,,770-460-0970 x201,,,SA MH SUMH * OP * OMH * ANTPYCH * AT CBT CFT DBT EMDR GT IDD IPT TELE AIM * WI * PVTP * MD PI SF SWFS * TAY SE GL CJ CO HV TRMA PEFP PTSD SED SMI * STU * TBS LABT * SMPD * CHLD YAD ADLT SNR * AH FX * F28 * VPPD * COOT FPSY PRS CM IPC,33.54104646188481,-84.33052713340315
2034,2112,Gateway Behavioral Health Services,Camden Outpatient Clinic,701-A Charles Gilman Jr Avenue,,Kingsland,GA,31548,912-576-4357,866-557-9955,,,,SA MH SUMH * OP * OMH * HALOP ARIPI CLOZA OLANZ OLANZF QUETI RISPE ANTPYCH * CBT CFT GT IDD IPT TELE AIM * PEON * STG * CLF CMHG MD SCJJ SF SI SMHA SWFS * PA SS * CO SMI * STU * HIVT TBS MST LABT * PEER * TCC * SMPD * CHLD YAD ADLT SNR * AH * VPPD * ACT COOT FPSY PRS SEMP VRS CM SPS,30.790784702807017,-81.6882994477193
2035,2113,Pathways Center,Troup County MH/AD,122 Gordon Commercial Drive,Suite D,Lagrange,GA,30240,706-845-4054,,888-247-9048,,,SA MH SUMH * OP * OMH * HALOP CLOZA RISPE ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON WI * STG * CLF CSBG MC MD OSF PI SCJJ SEF SF SI SMHA SWFS VAF * SS * TAY SE GL VET ADM MF CJ CO HV TRMA TBI ALZ PED PTSD SED SMI * STU * HIVT STDT TBS MST LABT * HS PEER * TCC * SMPD * CHLD YAD ADLT SNR * AH SP * VPPD * COOT DEC FPSY PRS SEMP SH CM SPS ES,33.03743390487805,-85.077855
2036,2114,Atlanta VA Healthcare System,Gwinnett County VA Clinic,1970 Riverside Parkway,,Lawrenceville,GA,30043,404-321-6111,404-321-6111 x20602,,,,MH SUMH * OP * VAHC * CHLOR DROPE FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT GT IPT TELE * WI * FED VAMC * PI SF VAF * PA * SE GL VET CO HV TRMA PTSD SMI * STU * MST LABT * PEER * TCC * SMON * YAD ADLT SNR * VAPN * ACT CDM DEC FPSY ICM IMR CM IPC SPS,33.99744677833714,-84.01565083684211
2037,2115,MED IV Healthcare,,531 Exam Court,,Lawrenceville,GA,30044,770-568-4648,,,,,SA MH SUMH * OP PHDT * OMH * IDD TELE * PEOFF WI * PVTP * MI PI SF * SE GL VET CO HV ALZ SMI * STU * HIVT STDT TBS MST HBT HCT LABT * SMON * YAD ADLT SNR * VAPN * AOT CDM ICM,33.92622793403805,-84.06982435856236
2038,2116,Social Empowerment Center Inc,,2775 Cruse Road,Suite 2601,Lawrenceville,GA,30044,770-925-2095,,,,,MH SUMH * OP * CBT CFT DBT GT IDD IPT TELE * PVTP * MD SF SI * CO TRMA PTSD * SMOP * CHLD YAD ADLT * VAPP * ACT COOT ICM CM,33.92622793403805,-84.06982435856236
2039,2117,SummitRidge Hospital,,250 Scenic Highway,,Lawrenceville,GA,30046,678-442-5800,678-442-5856,678-442-5857,,,SA MH SUMH * HI OP PHDT * PSY * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT ANTPYCH * AT CBT ECT GT TELE * CIT PEON WI * PVTP * FQHC * CLF MC MI OSF PI SCJJ SF SI SMHA SWFS VAF * PA SS * TAY SE GL VET ADM MF CJ CO HV TRMA ALZ PTSD SMI * STU * MST * TCC * SMPD * CHLD YAD ADLT SNR * AH SP * VAPN * CM SPS,33.95504700689655,-83.99164970574712
2040,2118,View Point Health,Adult Crisis Stabilization Unit,615 Lawrenceville Suwanee Road,,Lawrenceville,GA,30046,678-209-2460,,678-209-2411,,,SA MH SUMH * HI RES * RTCA * HALOP ARIPI OLANZ PALIP QUETI RISPE NRT ANTPYCH * DBT GT * CIT PEON WI * STG * CMHG CSBG MD SF SI SMHA * CO HV SMI * STU * HIVT TBS LABT * PEER * SMON * YAD ADLT SNR * AH SP * VAPN * FPSY PRS CM IPC SPS,33.95504700689655,-83.99164970574712
2041,2119,View Point Health,Lawrenceville Alcohol and Drug Prog,175 Gwinnett Drive,,Lawrenceville,GA,30046,678-209-2411,,,,,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH TRIFL ARIPI BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT DBT GT IDD IPT TELE * CIT * STG * MD SF SI SMHA VAF * PA SS * CO TRMA SED SMI * STU * HIVT TBS MST LABT * SMON * CHLD YAD ADLT SNR * AH * VAPN * COOT,33.95504700689655,-83.99164970574712
2042,2120,Atrium Health,Navicent,777 Hemlock Street,,Macon,GA,31201,478-633-1392,,,,,SA MH SUMH * HI * IPSY * NRT NSC * AT CBT CFT GT IPT * WI * PVTN * CLF CMHG CSBG MC MD MI PI SCJJ SF SI SMHA SWFS VAF * SE VET CO TBI PTSD * STU * TCC * SMON * SNR * AH SP * VAPN * CDM COOT FPSY IMR LAD CM IPC SPS ES,32.8350477769084,-83.63707009961831
2043,2121,Community Development System Inc,,577 Mulberry Street,Suite 900,Macon,GA,31201,478-743-8333,,478-254-7292,,,SA MH SUMH * OP * CBHC * ARIPI RISPE ANTPYCH * CBT GT IDD IPT TELE AIM * CIT PEON WI * PVTP * FQHC * MD PI * PA SS * TAY SE CO TRMA PEFP PTSD SED SMI * STU * TBS MST LABT * TCC * SMON * CHLD YAD ADLT * AH * VAPN * COOT DEC FPSY ICM IMR PRS CM IPC SPS ES,32.8350477769084,-83.63707009961831
2044,2122,Methodist Home of the S GA Conference,Light House for Families,116 Pierce Avenue,,Macon,GA,31204,478-751-2800,478-464-3001,,,,SA MH SUMH * OP * OMH * CBT CFT DBT GT IDD IPT TELE * CIT * PVTN * CLF MD OSF PI SCJJ SF SI SMHA SWFS * TAY TRMA PTSD SED * STU * PEER * TCC * SMON * CHLD YAD ADLT * AH * VAPN * DEC FPSY PRS SPS ES,32.84456581243017,-83.67469958519553
2045,2123,River Edge Behavioral Health,Addictive Disease Outpatient Program,175 Emery Highway,,Macon,GA,31217,478-803-7600,478-803-7700,,,,SA MH SUMH * OP PHDT * CBHC * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT TRIFL ARIPI ASENA CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * PEON WI * PVTN * MC MD PI SF SI SMHA * SS * TAY SE CJ PEFP SED SMI * STU * HIVT TBS HBT HCT LABT * PEER * SMPD * CHLD YAD ADLT SNR * AH * VPPD * ACT COOT FPSY ICM LAD PRS SH TPC CM SPS,32.846220678688525,-83.56896339733606
2046,2124,C and T Counseling LLC,,2470 Windy Hill Road,Suite 221,Marietta,GA,30067,770-955-4357,,,,,SA MH * OP * OMH * CBT CFT GT IDD IPT TELE * PVTP * MHC * SF * SS * CJ * SMPD * YAD ADLT SNR * VPPD * COOT FPSY ES,33.927901415680296,-84.47147372788285
2047,2125,Someone Cares Inc of Atlanta,,1950 Spectrum Circle SE,Suite 200,Marietta,GA,30067,678-921-2706,,,,,SA MH SUMH * OP * OMH * ANTPYCH * AT CBT CFT DBT EMDR GT IDD IPT TELE * PVTN * MHC * CLF CMHG CSBG MC MD OSF PI SF SI SMHA SWFS * PA SS * TAY SE GL CJ CO HV TRMA SED * HIVT STDT TBS LABT * PEER * SMPD * CHLD YAD ADLT SNR * SP FX * F67 * VPPD * ACT COOT FPSY ICM PRS SH TPC CM IPC SPS,33.927901415680296,-84.47147372788285
2048,2126,Traime Behavioral Health,,2000 Powers Ferry Road SE,Suite 530,Marietta,GA,30067,678-419-0222,,,,,SA MH SUMH * OP * CMHC * FLUPH HALOP ARIPI OLANZ RISPE ANTPYCH * CBT CRT CFT DBT GT IDD IPT TELE AIM * CIT PEON PEOFF * PVTN * MHC * MD * CO * SMPD * YAD ADLT SNR * AH * VAPN * ACT,33.927901415680296,-84.47147372788285
2049,2127,Advantage Behavioral Health Systems,Walton County Mental Health Center,834 Highway 11 SW,,Monroe,GA,30655,855-333-9544,,,,,SA MH SUMH * OP PHDT RES * CMHC * CHLOR FLUPH HALOP LOXAP PERPH TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEON WI * STG * MC MD MI PI SF SI SMHA * PA SS * TAY VET CJ CO TRMA PEFP SMI * STU * HIVT MST LABT * HS PEER * TCC * SMON * CHLD YAD ADLT SNR * AH * VAPN * ACT AOT CDM COOT DEC FPSY IMR PRS SEMP SH VRS CM IPC SPS ES,33.79361125037594,-83.7288639566416
2050,2128,Unison Behavioral Health,Brantley Behavioral Health,434 Bryan Street,,Nahunta,GA,31553,912-462-5849,800-342-8168,,,,SA MH SUMH * OP * OMH * CHLOR HALOP THIOR ANTPYCH * AT CBT CFT DBT EMDR GT IDD IPT TELE AIM * PEON WI * STG * CLF CMHG CSBG MC MD OSF PI SF SI SMHA SWFS * PA SS * TAY SE GL VET ADM MF CJ CO HV DV TRMA PED PEFP PTSD SED SMI * STU * HS PEER * TCC * SMON * CHLD YAD ADLT SNR * AH * VAPN * COOT DEC FPSY ICM PRS SEMP SH CM SPS ES,31.20447345294118,-81.98110344117647
2051,2129,Atlanta VA Healthcare System,Newnan VA Clinic,39-A Oak Hill Court,,Newnan,GA,30265,404-321-6111,404-321-6111 x20602,,,,MH SUMH * OP * VAHC * CHLOR DROPE FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IPT TELE * WI * FED VAMC * PI SF VAF * PA * SE GL VET CO HV TRMA PTSD SMI * STU * PEER * TCC * SMON * YAD ADLT SNR * VAPN * ACT CDM FPSY IMR PRS SPS,33.40415090573394,-84.71061748509175
2052,2130,Pathways Center,Coweta County MH/AD,59 Hospital Road,,Newnan,GA,30263,678-423-4610,,706-298-7805,,,SA MH SUMH * OP * OMH * HALOP CLOZA RISPE ANTPYCH * CBT CFT GT IDD IPT TELE AIM * CIT PEON WI * PVTN * CLF MC MD PI SF SI SMHA VAF * PA SS * TAY CO SED * STU * PEER * SMPD * CHLD YAD ADLT SNR * AH * VPPD * ACT COOT IMR PRS SEMP SH CM SPS,33.3832689221843,-84.80305700401024
2053,2131,Willow Oak Community Behav Health Ctr,,37 Calumet Parkway,"Building J, Suites 101-102",Newnan,GA,30263,770-683-6946,,,,,SA MH SUMH * OP * OMH * CLOZA OLANZ OLANZF RISPE NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * CIT WI * PVTP * MHC * MC MD MI PI SF SI VAF * SS * TAY SE GL VET ADM MF CJ CO HV DV TRMA PED PTSD SED SMI * STU * HIVT STDT TBS MST HBT HCT LABT * HS PEER * TCC * SMON * CHLD YAD ADLT SNR * AH * VPPD * CDM COOT FPSY IMR PRS CM SPS ES,33.3832689221843,-84.80305700401024
2054,2132,Murray Medical and Wellness Center,Peachtree Corners,5245 Buford Highway,Suite 1,Norcross,GA,30071,678-445-5995,,,,,SA MH SUMH * OP * MSMH * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT GT IDD IPT TELE * WI * PVTP * MHC * MC MD PI SF SI SWFS * TAY SE GL VET ADM MF CJ CO HV DV TRMA TBI ALZ PED PEFP PTSD SED SMI * STU * HIVT STDT TBS MST HBT HCT LABT * TCC * SMON * CHLD YAD ADLT SNR * SP FX * F28 F36 * VAPN * CDM COOT DEC FPSY IMR IPC ES,33.95195325044405,-84.20114544262877
2055,2133,View Point Health,Alianza Terapeutica Latina,6020 Dawson Boulevard,Suite I,Norcross,GA,30093,770-662-0249,,,,,SA MH SUMH * OP * OMH * FLUPH HALOP ARIPI ASENA BREXP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT DBT IPT TELE * LCCG * MD SF SMHA * SS * HIVT TBS * SMOP * CHLD YAD ADLT SNR * SP * VAPP,33.91836644155845,-84.16537220665585
2056,2134,Murray Medical and Wellness Center,Oakwood,3626 Old Oakwood Road,,Oakwood,GA,30566,770-503-9285,,,,,SA MH SUMH * OP * MSMH * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT GT IDD IPT TELE * WI * PVTP * MHC * MC MD PI SF SI SWFS * TAY SE GL VET ADM MF CJ CO HV DV TRMA TBI ALZ PED PEFP PTSD SED SMI * STU * HIVT STDT TBS MST HBT HCT LABT * TCC * SMON * CHLD YAD ADLT SNR * SP FX * F28 F36 * VAPN * CDM COOT DEC FPSY IMR IPC ES,34.23563265795455,-83.88976278579545
2057,2135,Morningstar Children and Family Servs,Perry,402 Courtney Hodges Boulevard,Suite 201,Perry,GA,31069,478-287-1003,,,,,SA MH SUMH * OP * OMH * CLOZA OLANZ OLANZF QUETI RISPE ANTPYCH * CBT CFT GT IPT TELE AIM * PEON WI * PVTN * MD PI SF SI SWFS * SMON * CHLD * VAPN * FPSY ICM CM SPS,32.46502966129032,-83.73038865403225
2058,2136,McLeod Gaston Inc,DBA Bishop Foundation,102 North Madison Street,,Quitman,GA,31643,229-263-7757,,888-877-4831,,,SA MH SUMH * OP * CMHC * HALOP ARIPI CLOZA OLANZ OLANZF QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IDD IPT TELE AIM * CIT PEON WI * PVTP * FG MD PI SF * CJ CO SMI * STU * MST LABT * PEER * SMPD * YAD ADLT SNR * AH * VPPD * CDM COOT DEC FPSY IMR PRS CM SPS ES,30.7987874953125,-83.55944343984375
2059,2137,Pineland BHDD,Tattnall Counseling Center,150 Memorial Drive,,Reidsville,GA,30453,912-557-6794,912-764-5125,,,,SA MH SUMH * OP * OMH * ANTPYCH * CBT CFT DBT GT IPT TELE * STG * MC MD PI SF * PA SS * TAY SE GL CO TRMA PTSD SED SMI * PEER * SMON * CHLD YAD ADLT SNR * AH * VAPN * AOT ICM CM SPS,32.080545721568626,-82.12337502058823
2060,2138,Gateway Behavioral Health Services,Effingham Outpatient Clinic,108 West 8th Street Extension,,Rincon,GA,31326,912-826-7469,866-557-9955,,,,SA MH SUMH * OP * OMH * HALOP ARIPI CLOZA OLANZ OLANZF QUETI RISPE ANTPYCH * CBT CFT GT IDD IPT TELE AIM * PEON * STG * CLF CMHG MD SCJJ SF SI SMHA SWFS * PA SS * CO SMI * STU * HIVT TBS MST LABT * PEER * TCC * SMPD * CHLD YAD ADLT SNR * AH * VPPD * COOT FPSY PRS SEMP VRS CM SPS,32.284215061077845,-81.23476546167664
2061,2139,RiverWoods Behavioral Health System,,233 Medical Center Drive,,Riverdale,GA,30274,770-991-8500,,,,,SA MH SUMH * HI PHDT * PSY * NRT NSC ANTPYCH * AT GT IPT * CIT PEON WI * PVTP * MC MI OSF PI SF SI VAF * ADM * STU * HIVT STDT TBS MST HBT HCT LABT * PEER * TCC * SMPD * CHLD YAD ADLT SNR * AH * VPPD * CM SPS,33.55399290377358,-84.39949854127359
2062,2140,Floyd Behavioral Health,,306 Shorter Avenue,,Rome,GA,30165,706-509-3500,,800-365-3548,,,SA MH SUMH * HI OP PHDT * IPSY * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT GT IDD IPT * CIT PEON WI * PVTN * MC MD MI PI SCJJ SF SI SMHA VAF * SE CO ALZ PEFP SMI * STU * HIVT STDT TBS MST LABT * TCC * SMON * YAD ADLT SNR * AH * VAPN * CDM COOT DEC CM SPS,34.280700154533335,-85.22003988200001
2063,2141,Saint Simons by the Sea,,2927 Demere Road,,Saint Simons Island,GA,31522,912-638-1999,800-821-7224,,,,SA MH SUMH * HI PHDT * PH * CHLOR FLUPH HALOP LOXAP PERPH THIOT THIOR TRIFL ARIPI CARIP CLOZA OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEON WI * PVTP * MC MD MI PI SF SI VAF * TAY SE GL VET ADM MF CO HV DV TRMA TBI ALZ PED PEFP PTSD SED SMI * STU * HIVT STDT TBS MST HBT HCT LABT * TCC * SMPD * CHLD YAD ADLT SNR * AH * VAPN * DEC FPSY PRS CM SPS ES,31.167813097089397,-81.38580795966736
2064,2142,Gateway Behavioral Health Services,Behavioral Health Crisis Center,2121 East Derenne Avenue,,Savannah,GA,31406,912-417-9471,866-557-9955,,,,SA MH SUMH * OP RES * RTCA * HALOP ARIPI CLOZA OLANZ OLANZF QUETI RISPE NRT ANTPYCH * AT CBT GT IDD IPT TELE AIM * CIT PEON WI * STG * CLF CMHG MD PI SCJJ SF SI SMHA SWFS * PA SS * CO SMI * STU * HIVT TBS MST LABT * PEER * TCC * SMON * YAD ADLT SNR * AH * VAPN * COOT FPSY PRS SEMP VRS CM SPS,31.98807490154867,-81.08574705707964
2065,2143,Gateway Behavioral Health Services,Magnolia Center for Addictive Disorder,800 East 70th Street,,Savannah,GA,31405,912-483-7297,866-557-9955,,,,SA MH SUMH * OP PHDT * OMH * ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * CIT PEOFF * STG * CLF CMHG MC MD SCJJ SF SI SMHA SWFS * PA SS * CO * STU * HS PEER * TCC * SMPD * YAD ADLT SNR * VPPD * COOT FPSY ICM PRS SEMP SH VRS CM SPS,32.04122331268781,-81.12918075025043
2066,2144,Malinda Graham and Associates,,8400 Abercorn Street,,Savannah,GA,31406,912-200-4775,912-559-5536,,,,SA MH SUMH * OP * OMH * AT CBT CFT DBT GT IDD IPT TELE * CIT WI * PVTP * CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS * PA SS * TAY SE GL VET ADM MF CJ CO HV TRMA PED PTSD SED SMI * SMPD * CHLD YAD ADLT SNR * VPPD * COOT FPSY ICM PRS CM SPS,31.98807490154867,-81.08574705707964
2067,2145,Memorial Health Univ Medical Center,Center for Behavioral Medicine,4700 Waters Avenue,,Savannah,GA,31404,912-350-2664,912-350-5600,,,,SA MH SUMH * HI OP PHDT RES * PSY * NRT ANTPYCH * AT CBT CFT DBT ECT GT IDD IPT * CIT PEON WI * PVTP * FQHC * CLF CMHG CSBG ITU MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF * SE GL VET ADM MF CO PTSD SMI * STU * TCC * SMON * YAD ADLT SNR * AH * VAPN * CDM DEC CM SPS ES,32.04434159454545,-81.06906559509092
