index,Measure,12+,12-17,18-25,26+,18+,states
381,"Opioid Use Disorder1,3,4",10.0,0.0,1.0,8.0,9.0,DistrictOfCol
382,Alcohol Use Disorder1,90.0,1.0,15.0,74.0,89.0,DistrictOfCol
383,"Substance Use Disorder1,2",133.0,3.0,24.0,106.0,130.0,DistrictOfCol
384,"Needing But Not Receiving Treatment at a Specialty Facility for Illicit Drug Use5,6,7",55.0,2.0,15.0,38.0,53.0,DistrictOfCol
385,Needing But Not Receiving Treatment at a Specialty Facility for Alcohol Use5,86.0,1.0,15.0,70.0,85.0,DistrictOfCol
386,"Needing But Not Receiving Treatment at a Specialty Facility for Substance Use5,6,7",130.0,3.0,25.0,103.0,128.0,DistrictOfCol
388,"ILLICIT DRUGS Illicit Drug Use in the Past Month1,2","2,179",76,432,"1,671","2,103",Florida
389,Marijuana Use in the Past Year,"2,805",142,608,"2,055","2,663",Florida
390,Marijuana Use in the Past Month,"1,996",59,395,"1,542","1,937",Florida
391,Perceptions of Great Risk from Smoking Marijuana Once a Month,"5,065",412,264,"4,390","4,653",Florida
393,"First Use of Marijuana in the Past Year among Those at Risk for Initiation of Marijuana Use3,4",192,59,80,53,134,Florida
394,"Illicit Drug Use Other Than Marijuana in the Past Month1,2",468,27,63,379,441,Florida
395,Cocaine Use in the Past Year,246,2,54,190,244,Florida
396,Perceptions of Great Risk from Using Cocaine Once a Month,"13,692",801,"1,228","11,662","12,891",Florida
397,Heroin Use in the Past Year5,0,0,3,51,55,Florida
398,Perceptions of Great Risk from Trying Heroin Once or Twice,"16,172",902,"1,552","13,719","15,270",Florida
399,Methamphetamine Use in the Past Year,98,1,5,91,97,Florida
400,Prescription Pain Reliever Misuse in the Past Year2,471,34,59,378,437,Florida
401,"Opioid Misuse in the Past Year2,6",505,34,57,414,471,Florida
403,ALCOHOL Alcohol Use in the Past Month,"9,264",101,919,"8,243","9,162",Florida
404,Binge Alcohol Use in the Past Month7,"3,794",48,515,"3,230","3,746",Florida
406,Perceptions of Great Risk from Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week,"8,901",700,833,"7,368","8,202",Florida
407,Alcohol Use in the Past Month8 (People Aged 12 to 20),373,0,0,0,0,Florida
408,"Binge Alcohol Use in the Past Month7,8 (People Aged 12 to 20)",190,0,0,0,0,Florida
410,TOBACCO PRODUCTS Tobacco Product Use in the Past Month9,"3,344",31,268,"3,045","3,313",Florida
411,Cigarette Use in the Past Month,"2,737",14,160,"2,563","2,723",Florida
412,Perceptions of Great Risk from Smoking One or More Packs of Cigarettes per Day,"13,694",979,"1,317","11,398","12,715",Florida
414,"MENTAL HEALTH MEASURES IN THE PAST YEAR Any Mental Illness4,10",0,0,628,"2,981","3,610",Florida
415,"Serious Mental Illness4,10",0,0,237,664,901,Florida
416,Received Mental Health Services11,0,0,314,"2,023","2,337",Florida
417,"Major Depressive Episode4,12",0,337,383,914,"1,297",Florida
418,Had Serious Thoughts of Suicide,0,0,269,509,778,Florida
419,Made Any Suicide Plans,0,0,93,155,249,Florida
420,Attempted Suicide,0,0,71,79,150,Florida
422,"SUBSTANCE USE DISORDER AND TREATMENT Drug Use Disorder1,2","1,413",89.0,269.0,"1,055","1,324",Florida
423,"Pain Reliever Use Disorder1,3",341,15.0,23.0,303,326,Florida
424,"Opioid Use Disorder1,3,4",357,15.0,26.0,315,342,Florida
425,Alcohol Use Disorder1,"1,838",51.0,250.0,"1,537","1,788",Florida
426,"Substance Use Disorder1,2","2,753",111.0,445.0,"2,197","2,642",Florida
427,"Needing But Not Receiving Treatment at a Specialty Facility for Illicit Drug Use5,6,7","1,011",76.0,264.0,671,935,Florida
428,Needing But Not Receiving Treatment at a Specialty Facility for Alcohol Use5,"1,833",47.0,248.0,"1,538","1,787",Florida
429,"Needing But Not Receiving Treatment at a Specialty Facility for Substance Use5,6,7","2,348",101.0,419.0,"1,827","2,247",Florida
431,"ILLICIT DRUGS Illicit Drug Use in the Past Month1,2","1,100",64,246,790,"1,036",Georgia
432,Marijuana Use in the Past Year,"1,546",81,346,"1,119","1,466",Georgia
433,Marijuana Use in the Past Month,"1,032",53,250,729,979,Georgia
434,Perceptions of Great Risk from Smoking Marijuana Once a Month,"2,027",251,147,"1,629","1,776",Georgia
436,"First Use of Marijuana in the Past Year among Those at Risk for Initiation of Marijuana Use3,4",91,25,45,21,66,Georgia
437,"Illicit Drug Use Other Than Marijuana in the Past Month1,2",287,23,38,227,265,Georgia
438,Cocaine Use in the Past Year,145,2,31,112,143,Georgia
439,Perceptions of Great Risk from Using Cocaine Once a Month,"6,442",467,721,"5,254","5,975",Georgia
440,Heroin Use in the Past Year5,0,0,2,27,29,Georgia
441,Perceptions of Great Risk from Trying Heroin Once or Twice,"7,545",535,873,"6,138","7,010",Georgia
442,Methamphetamine Use in the Past Year,71,2,2,67,69,Georgia
443,Prescription Pain Reliever Misuse in the Past Year2,290,15,31,244,275,Georgia
444,"Opioid Misuse in the Past Year2,6",321,15,30,276,306,Georgia
446,ALCOHOL Alcohol Use in the Past Month,"3,919",53,471,"3,395","3,866",Georgia
447,Binge Alcohol Use in the Past Month7,"1,593",29,293,"1,271","1,565",Georgia
449,Perceptions of Great Risk from Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week,"4,364",434,466,"3,463","3,929",Georgia
450,Alcohol Use in the Past Month8 (People Aged 12 to 20),176,0,0,0,0,Georgia
451,"Binge Alcohol Use in the Past Month7,8 (People Aged 12 to 20)",96,0,0,0,0,Georgia
453,TOBACCO PRODUCTS Tobacco Product Use in the Past Month9,"1,984",24,191,"1,769","1,960",Georgia
454,Cigarette Use in the Past Month,"1,550",11,131,"1,407","1,539",Georgia
455,Perceptions of Great Risk from Smoking One or More Packs of Cigarettes per Day,"6,040",581,696,"4,764","5,460",Georgia
457,"MENTAL HEALTH MEASURES IN THE PAST YEAR Any Mental Illness4,10",0,0,381,"1,491","1,872",Georgia
458,"Serious Mental Illness4,10",0,0,118,308,426,Georgia
459,Received Mental Health Services11,0,0,177,"1,077","1,254",Georgia
460,"Major Depressive Episode4,12",0,158,192,494,686,Georgia
461,Had Serious Thoughts of Suicide,0,0,149,231,381,Georgia
462,Made Any Suicide Plans,0,0,59,58,117,Georgia
463,Attempted Suicide,0,0,38,33,70,Georgia
465,"SUBSTANCE USE DISORDER AND TREATMENT Drug Use Disorder1,2",768,58.0,168.0,542,710,Georgia
466,"Pain Reliever Use Disorder1,3",145,10.0,14.0,121,135,Georgia
467,"Opioid Use Disorder1,3,4",171,9.0,16.0,146,161,Georgia
468,Alcohol Use Disorder1,875,26.0,164.0,685,849,Georgia
469,"Substance Use Disorder1,2","1,453",72.0,267.0,"1,113","1,380",Georgia
470,"Needing But Not Receiving Treatment at a Specialty Facility for Illicit Drug Use5,6,7",622,46.0,141.0,434,575,Georgia
471,Needing But Not Receiving Treatment at a Specialty Facility for Alcohol Use5,901,26.0,160.0,716,875,Georgia
472,"Needing But Not Receiving Treatment at a Specialty Facility for Substance Use5,6,7","1,286",67.0,252.0,967,"1,219",Georgia
474,"ILLICIT DRUGS Illicit Drug Use in the Past Month1,2",126,6,34,87,120,Hawaii
475,Marijuana Use in the Past Year,175,9,44,123,166,Hawaii
476,Marijuana Use in the Past Month,111,5,28,78,106,Hawaii
477,Perceptions of Great Risk from Smoking Marijuana Once a Month,283,15,14,254,268,Hawaii
479,"First Use of Marijuana in the Past Year among Those at Risk for Initiation of Marijuana Use3,4",14,5,4,5,9,Hawaii
480,"Illicit Drug Use Other Than Marijuana in the Past Month1,2",34,2,7,25,32,Hawaii
481,Cocaine Use in the Past Year,18,0,5,13,18,Hawaii
482,Perceptions of Great Risk from Using Cocaine Once a Month,772,47,64,660,725,Hawaii
483,Heroin Use in the Past Year5,0,0,0,4,4,Hawaii
484,Perceptions of Great Risk from Trying Heroin Once or Twice,916,53,86,777,863,Hawaii
485,Methamphetamine Use in the Past Year,9,0,1,8,8,Hawaii
486,Prescription Pain Reliever Misuse in the Past Year2,35,2,4,29,33,Hawaii
487,"Opioid Misuse in the Past Year2,6",35,2,4,29,33,Hawaii
489,ALCOHOL Alcohol Use in the Past Month,508,6,63,439,502,Hawaii
490,Binge Alcohol Use in the Past Month7,253,3,31,219,250,Hawaii
492,Perceptions of Great Risk from Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week,558,41,44,472,517,Hawaii
493,Alcohol Use in the Past Month8 (People Aged 12 to 20),22,0,0,0,0,Hawaii
494,"Binge Alcohol Use in the Past Month7,8 (People Aged 12 to 20)",11,0,0,0,0,Hawaii
496,TOBACCO PRODUCTS Tobacco Product Use in the Past Month9,161,2,19,139,158,Hawaii
497,Cigarette Use in the Past Month,160,2,15,143,159,Hawaii
498,Perceptions of Great Risk from Smoking One or More Packs of Cigarettes per Day,851,62,77,712,789,Hawaii
500,"MENTAL HEALTH MEASURES IN THE PAST YEAR Any Mental Illness4,10",0,0,41,186,227,Hawaii
501,"Serious Mental Illness4,10",0,0,12,43,55,Hawaii
502,Received Mental Health Services11,0,0,19,106,125,Hawaii
503,"Major Depressive Episode4,12",0,19,19,55,74,Hawaii
504,Had Serious Thoughts of Suicide,0,0,13,33,46,Hawaii
505,Made Any Suicide Plans,0,0,3,7,10,Hawaii
506,Attempted Suicide,0,0,3,2,5,Hawaii
508,"SUBSTANCE USE DISORDER AND TREATMENT Drug Use Disorder1,2",78.0,7.0,17.0,54.0,71.0,Hawaii
509,"Pain Reliever Use Disorder1,3",14.0,1.0,2.0,11.0,13.0,Hawaii
510,"Opioid Use Disorder1,3,4",13.0,1.0,2.0,10.0,12.0,Hawaii
511,Alcohol Use Disorder1,107.0,3.0,15.0,89.0,104.0,Hawaii
512,"Substance Use Disorder1,2",163.0,9.0,26.0,128.0,154.0,Hawaii
513,"Needing But Not Receiving Treatment at a Specialty Facility for Illicit Drug Use5,6,7",66.0,6.0,17.0,43.0,60.0,Hawaii
514,Needing But Not Receiving Treatment at a Specialty Facility for Alcohol Use5,112.0,4.0,15.0,93.0,108.0,Hawaii
515,"Needing But Not Receiving Treatment at a Specialty Facility for Substance Use5,6,7",153.0,9.0,25.0,120.0,144.0,Hawaii
517,"ILLICIT DRUGS Illicit Drug Use in the Past Month1,2",184,11,47,126,173,Idaho
518,Marijuana Use in the Past Year,242,15,68,159,227,Idaho
519,Marijuana Use in the Past Month,161,8,48,105,152,Idaho
520,Perceptions of Great Risk from Smoking Marijuana Once a Month,323,38,20,265,285,Idaho
522,"First Use of Marijuana in the Past Year among Those at Risk for Initiation of Marijuana Use3,4",19,5,8,5,14,Idaho
523,"Illicit Drug Use Other Than Marijuana in the Past Month1,2",44,3,7,34,41,Idaho
524,Cocaine Use in the Past Year,20,1,7,12,19,Idaho
525,Perceptions of Great Risk from Using Cocaine Once a Month,"1,012",85,110,818,928,Idaho
526,Heroin Use in the Past Year5,0,0,0,4,4,Idaho
527,Perceptions of Great Risk from Trying Heroin Once or Twice,"1,262",95,151,"1,016","1,167",Idaho
528,Methamphetamine Use in the Past Year,15,0,1,13,14,Idaho
529,Prescription Pain Reliever Misuse in the Past Year2,40,3,6,31,37,Idaho
530,"Opioid Misuse in the Past Year2,6",42,3,7,33,40,Idaho
532,ALCOHOL Alcohol Use in the Past Month,658,10,102,546,648,Idaho
533,Binge Alcohol Use in the Past Month7,306,6,60,241,301,Idaho
535,Perceptions of Great Risk from Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week,659,69,63,527,590,Idaho
536,Alcohol Use in the Past Month8 (People Aged 12 to 20),29,0,0,0,0,Idaho
537,"Binge Alcohol Use in the Past Month7,8 (People Aged 12 to 20)",16,0,0,0,0,Idaho
539,TOBACCO PRODUCTS Tobacco Product Use in the Past Month9,314,5,43,266,309,Idaho
540,Cigarette Use in the Past Month,232,4,29,199,228,Idaho
541,Perceptions of Great Risk from Smoking One or More Packs of Cigarettes per Day,"1,040",104,120,816,936,Idaho
543,"MENTAL HEALTH MEASURES IN THE PAST YEAR Any Mental Illness4,10",0,0,73,304,377,Idaho
544,"Serious Mental Illness4,10",0,0,26,71,97,Idaho
545,Received Mental Health Services11,0,0,44,235,279,Idaho
546,"Major Depressive Episode4,12",0,35,44,104,148,Idaho
547,Had Serious Thoughts of Suicide,0,0,29,62,91,Idaho
548,Made Any Suicide Plans,0,0,8,12,20,Idaho
549,Attempted Suicide,0,0,5,5,11,Idaho
551,"SUBSTANCE USE DISORDER AND TREATMENT Drug Use Disorder1,2",139.0,12.0,37.0,90.0,127.0,Idaho
552,"Pain Reliever Use Disorder1,3",27.0,1.0,2.0,23.0,25.0,Idaho
553,"Opioid Use Disorder1,3,4",29.0,1.0,2.0,26.0,28.0,Idaho
554,Alcohol Use Disorder1,183.0,8.0,35.0,141.0,175.0,Idaho
555,"Substance Use Disorder1,2",270.0,15.0,56.0,200.0,256.0,Idaho
556,"Needing But Not Receiving Treatment at a Specialty Facility for Illicit Drug Use5,6,7",110.0,8.0,36.0,66.0,102.0,Idaho
557,Needing But Not Receiving Treatment at a Specialty Facility for Alcohol Use5,170.0,7.0,35.0,129.0,163.0,Idaho
558,"Needing But Not Receiving Treatment at a Specialty Facility for Substance Use5,6,7",229.0,13.0,50.0,166.0,216.0,Idaho
560,"ILLICIT DRUGS Illicit Drug Use in the Past Month1,2","1,726",80,353,"1,293","1,646",Illinois
561,Marijuana Use in the Past Year,"2,247",121,477,"1,649","2,126",Illinois
562,Marijuana Use in the Past Month,"1,597",89,350,"1,158","1,508",Illinois
563,Perceptions of Great Risk from Smoking Marijuana Once a Month,"2,100",199,176,"1,724","1,901",Illinois
565,"First Use of Marijuana in the Past Year among Those at Risk for Initiation of Marijuana Use3,4",132,40,54,38,92,Illinois
566,"Illicit Drug Use Other Than Marijuana in the Past Month1,2",333,17,54,261,315,Illinois
567,Cocaine Use in the Past Year,191,1,41,150,190,Illinois
568,Perceptions of Great Risk from Using Cocaine Once a Month,"6,992",497,771,"5,725","6,496",Illinois
569,Heroin Use in the Past Year5,0,0,2,58,61,Illinois
570,Perceptions of Great Risk from Trying Heroin Once or Twice,"8,707",583,999,"7,124","8,123",Illinois
571,Methamphetamine Use in the Past Year,65,4,5,56,61,Illinois
572,Prescription Pain Reliever Misuse in the Past Year2,304,20,27,257,284,Illinois
573,"Opioid Misuse in the Past Year2,6",324,20,35,268,304,Illinois
575,ALCOHOL Alcohol Use in the Past Month,"5,300",96,679,"4,525","5,204",Illinois
576,Binge Alcohol Use in the Past Month7,"2,376",55,407,"1,914","2,321",Illinois
578,Perceptions of Great Risk from Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week,"4,491",419,488,"3,584","4,073",Illinois
579,Alcohol Use in the Past Month8 (People Aged 12 to 20),262,0,0,0,0,Illinois
580,"Binge Alcohol Use in the Past Month7,8 (People Aged 12 to 20)",135,0,0,0,0,Illinois
582,TOBACCO PRODUCTS Tobacco Product Use in the Past Month9,"2,110",32,181,"1,896","2,078",Illinois
583,Cigarette Use in the Past Month,"1,691",29,130,"1,532","1,663",Illinois
584,Perceptions of Great Risk from Smoking One or More Packs of Cigarettes per Day,"7,411",653,884,"5,875","6,759",Illinois
586,"MENTAL HEALTH MEASURES IN THE PAST YEAR Any Mental Illness4,10",0,0,408,"1,687","2,095",Illinois
587,"Serious Mental Illness4,10",0,0,119,296,415,Illinois
588,Received Mental Health Services11,0,0,233,"1,195","1,428",Illinois
589,"Major Depressive Episode4,12",0,234,181,510,692,Illinois
590,Had Serious Thoughts of Suicide,0,0,156,304,460,Illinois
591,Made Any Suicide Plans,0,0,54,79,133,Illinois
592,Attempted Suicide,0,0,32,27,59,Illinois
594,"SUBSTANCE USE DISORDER AND TREATMENT Drug Use Disorder1,2",926,83.0,189.0,654,844,Illinois
595,"Pain Reliever Use Disorder1,3",186,12.0,15.0,158,174,Illinois
596,"Opioid Use Disorder1,3,4",221,12.0,15.0,195,210,Illinois
597,Alcohol Use Disorder1,"1,052",35.0,179.0,838,"1,017",Illinois
598,"Substance Use Disorder1,2","1,762",107.0,301.0,"1,355","1,656",Illinois
599,"Needing But Not Receiving Treatment at a Specialty Facility for Illicit Drug Use5,6,7",761,67.0,167.0,527,694,Illinois
600,Needing But Not Receiving Treatment at a Specialty Facility for Alcohol Use5,968,41.0,177.0,750,927,Illinois
601,"Needing But Not Receiving Treatment at a Specialty Facility for Substance Use5,6,7","1,629",87.0,299.0,"1,243","1,542",Illinois
603,"ILLICIT DRUGS Illicit Drug Use in the Past Month1,2",740,37,179,525,703,Indiana
604,Marijuana Use in the Past Year,"1,062",53,282,727,"1,008",Indiana
605,Marijuana Use in the Past Month,668,28,188,452,640,Indiana
606,Perceptions of Great Risk from Smoking Marijuana Once a Month,"1,195",146,74,975,"1,049",Indiana
608,"First Use of Marijuana in the Past Year among Those at Risk for Initiation of Marijuana Use3,4",65,18,35,11,46,Indiana
609,"Illicit Drug Use Other Than Marijuana in the Past Month1,2",163,11,30,122,152,Indiana
610,Cocaine Use in the Past Year,85,1,21,63,84,Indiana
611,Perceptions of Great Risk from Using Cocaine Once a Month,"3,861",280,441,"3,140","3,581",Indiana
612,Heroin Use in the Past Year5,0,0,1,14,15,Indiana
613,Perceptions of Great Risk from Trying Heroin Once or Twice,"4,673",321,585,"3,766","4,352",Indiana
614,Methamphetamine Use in the Past Year,59,0,3,56,59,Indiana
615,Prescription Pain Reliever Misuse in the Past Year2,180,11,26,143,169,Indiana
616,"Opioid Misuse in the Past Year2,6",189,11,25,153,178,Indiana
618,ALCOHOL Alcohol Use in the Past Month,"2,513",34,379,"2,101","2,480",Indiana
619,Binge Alcohol Use in the Past Month7,"1,199",18,239,942,"1,181",Indiana
621,Perceptions of Great Risk from Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week,"2,335",244,246,"1,845","2,091",Indiana
622,Alcohol Use in the Past Month8 (People Aged 12 to 20),103,0,0,0,0,Indiana
623,"Binge Alcohol Use in the Past Month7,8 (People Aged 12 to 20)",55,0,0,0,0,Indiana
625,TOBACCO PRODUCTS Tobacco Product Use in the Past Month9,"1,353",15,146,"1,192","1,338",Indiana
626,Cigarette Use in the Past Month,"1,077",6,107,965,"1,072",Indiana
627,Perceptions of Great Risk from Smoking One or More Packs of Cigarettes per Day,"3,609",348,450,"2,811","3,261",Indiana
629,"MENTAL HEALTH MEASURES IN THE PAST YEAR Any Mental Illness4,10",0,0,272,945,"1,217",Indiana
630,"Serious Mental Illness4,10",0,0,101,208,309,Indiana
631,Received Mental Health Services11,0,0,167,766,933,Indiana
632,"Major Depressive Episode4,12",0,123,156,323,480,Indiana
633,Had Serious Thoughts of Suicide,0,0,113,180,293,Indiana
634,Made Any Suicide Plans,0,0,46,36,82,Indiana
635,Attempted Suicide,0,0,22,14,36,Indiana
637,"SUBSTANCE USE DISORDER AND TREATMENT Drug Use Disorder1,2",586,40.0,146.0,400.0,546,Indiana
638,"Pain Reliever Use Disorder1,3",85,6.0,8.0,71.0,79,Indiana
639,"Opioid Use Disorder1,3,4",108,5.0,9.0,93.0,103,Indiana
640,Alcohol Use Disorder1,602,19.0,101.0,482.0,583,Indiana
641,"Substance Use Disorder1,2","1,098",48.0,215.0,836.0,"1,051",Indiana
642,"Needing But Not Receiving Treatment at a Specialty Facility for Illicit Drug Use5,6,7",474,37.0,135.0,303.0,438,Indiana
643,Needing But Not Receiving Treatment at a Specialty Facility for Alcohol Use5,626,17.0,96.0,513.0,609,Indiana
644,"Needing But Not Receiving Treatment at a Specialty Facility for Substance Use5,6,7",955,44.0,194.0,716.0,911,Indiana
646,"ILLICIT DRUGS Illicit Drug Use in the Past Month1,2",334,17,71,246,317,Iowa
647,Marijuana Use in the Past Year,519,28,109,382,491,Iowa
648,Marijuana Use in the Past Month,303,13,68,222,289,Iowa
649,Perceptions of Great Risk from Smoking Marijuana Once a Month,463,53,34,376,410,Iowa
651,"First Use of Marijuana in the Past Year among Those at Risk for Initiation of Marijuana Use3,4",38,14,18,7,24,Iowa
652,"Illicit Drug Use Other Than Marijuana in the Past Month1,2",79,7,13,60,72,Iowa
653,Cocaine Use in the Past Year,41,0,11,29,41,Iowa
654,Perceptions of Great Risk from Using Cocaine Once a Month,"1,724",127,198,"1,399","1,597",Iowa
655,Heroin Use in the Past Year5,0,0,1,5,6,Iowa
656,Perceptions of Great Risk from Trying Heroin Once or Twice,"2,146",146,259,"1,741","2,000",Iowa
657,Methamphetamine Use in the Past Year,46,1,3,43,45,Iowa
658,Prescription Pain Reliever Misuse in the Past Year2,76,4,9,62,71,Iowa
659,"Opioid Misuse in the Past Year2,6",76,5,10,61,71,Iowa
661,ALCOHOL Alcohol Use in the Past Month,"1,450",28,197,"1,225","1,422",Iowa
662,Binge Alcohol Use in the Past Month7,655,13,112,531,643,Iowa
664,Perceptions of Great Risk from Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week,984,98,110,775,886,Iowa
665,Alcohol Use in the Past Month8 (People Aged 12 to 20),79,0,0,0,0,Iowa
666,"Binge Alcohol Use in the Past Month7,8 (People Aged 12 to 20)",39,0,0,0,0,Iowa
668,TOBACCO PRODUCTS Tobacco Product Use in the Past Month9,629,10,62,556,618,Iowa
669,Cigarette Use in the Past Month,527,8,45,474,519,Iowa
670,Perceptions of Great Risk from Smoking One or More Packs of Cigarettes per Day,"1,661",166,223,"1,272","1,495",Iowa
672,"MENTAL HEALTH MEASURES IN THE PAST YEAR Any Mental Illness4,10",0,0,126,486,612,Iowa
673,"Serious Mental Illness4,10",0,0,42,114,157,Iowa
674,Received Mental Health Services11,0,0,73,413,486,Iowa
675,"Major Depressive Episode4,12",0,62,67,159,226,Iowa
676,Had Serious Thoughts of Suicide,0,0,48,82,130,Iowa
677,Made Any Suicide Plans,0,0,16,15,32,Iowa
678,Attempted Suicide,0,0,6,6,12,Iowa
680,"SUBSTANCE USE DISORDER AND TREATMENT Drug Use Disorder1,2",269.0,22.0,58.0,188.0,247.0,Iowa
681,"Pain Reliever Use Disorder1,3",41.0,3.0,3.0,35.0,38.0,Iowa
682,"Opioid Use Disorder1,3,4",51.0,2.0,3.0,45.0,48.0,Iowa
683,Alcohol Use Disorder1,309.0,12.0,60.0,237.0,297.0,Iowa
684,"Substance Use Disorder1,2",504.0,29.0,101.0,374.0,475.0,Iowa
685,"Needing But Not Receiving Treatment at a Specialty Facility for Illicit Drug Use5,6,7",193.0,17.0,54.0,122.0,176.0,Iowa
686,Needing But Not Receiving Treatment at a Specialty Facility for Alcohol Use5,285.0,13.0,58.0,214.0,272.0,Iowa
687,"Needing But Not Receiving Treatment at a Specialty Facility for Substance Use5,6,7",417.0,24.0,93.0,301.0,393.0,Iowa
689,"ILLICIT DRUGS Illicit Drug Use in the Past Month1,2",318,17,72,229,301,Kansas
690,Marijuana Use in the Past Year,459,21,109,329,438,Kansas
691,Marijuana Use in the Past Month,294,13,73,208,281,Kansas
692,Perceptions of Great Risk from Smoking Marijuana Once a Month,465,49,35,381,415,Kansas
694,"First Use of Marijuana in the Past Year among Those at Risk for Initiation of Marijuana Use3,4",29,7,14,9,22,Kansas
695,"Illicit Drug Use Other Than Marijuana in the Past Month1,2",65,5,14,46,60,Kansas
696,Cocaine Use in the Past Year,32,0,10,22,32,Kansas
697,Perceptions of Great Risk from Using Cocaine Once a Month,"1,605",121,181,"1,303","1,484",Kansas
698,Heroin Use in the Past Year5,0,0,0,6,6,Kansas
699,Perceptions of Great Risk from Trying Heroin Once or Twice,"1,972",142,239,"1,591","1,830",Kansas
700,Methamphetamine Use in the Past Year,31,1,1,30,31,Kansas
701,Prescription Pain Reliever Misuse in the Past Year2,79,5,11,63,75,Kansas
702,"Opioid Misuse in the Past Year2,6",79,5,11,63,74,Kansas
704,ALCOHOL Alcohol Use in the Past Month,"1,197",17,191,989,"1,179",Kansas
705,Binge Alcohol Use in the Past Month7,572,8,107,456,564,Kansas
707,Perceptions of Great Risk from Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week,970,99,108,763,871,Kansas
708,Alcohol Use in the Past Month8 (People Aged 12 to 20),52,0,0,0,0,Kansas
709,"Binge Alcohol Use in the Past Month7,8 (People Aged 12 to 20)",29,0,0,0,0,Kansas
711,TOBACCO PRODUCTS Tobacco Product Use in the Past Month9,620,8,69,543,612,Kansas
712,Cigarette Use in the Past Month,472,4,44,425,469,Kansas
713,Perceptions of Great Risk from Smoking One or More Packs of Cigarettes per Day,"1,526",160,182,"1,184","1,366",Kansas
715,"MENTAL HEALTH MEASURES IN THE PAST YEAR Any Mental Illness4,10",0,0,113,389,502,Kansas
716,"Serious Mental Illness4,10",0,0,37,105,142,Kansas
717,Received Mental Health Services11,0,0,69,353,423,Kansas
718,"Major Depressive Episode4,12",0,54,61,140,201,Kansas
719,Had Serious Thoughts of Suicide,0,0,40,81,121,Kansas
720,Made Any Suicide Plans,0,0,16,20,36,Kansas
721,Attempted Suicide,0,0,6,8,14,Kansas
723,"SUBSTANCE USE DISORDER AND TREATMENT Drug Use Disorder1,2",224.0,16.0,48.0,159.0,207.0,Kansas
724,"Pain Reliever Use Disorder1,3",48.0,3.0,4.0,42.0,45.0,Kansas
725,"Opioid Use Disorder1,3,4",54.0,3.0,3.0,48.0,51.0,Kansas
726,Alcohol Use Disorder1,265.0,9.0,60.0,196.0,256.0,Kansas
727,"Substance Use Disorder1,2",412.0,20.0,93.0,298.0,391.0,Kansas
728,"Needing But Not Receiving Treatment at a Specialty Facility for Illicit Drug Use5,6,7",168.0,13.0,44.0,111.0,155.0,Kansas
729,Needing But Not Receiving Treatment at a Specialty Facility for Alcohol Use5,253.0,9.0,59.0,185.0,244.0,Kansas
730,"Needing But Not Receiving Treatment at a Specialty Facility for Substance Use5,6,7",354.0,17.0,87.0,250.0,337.0,Kansas
732,"ILLICIT DRUGS Illicit Drug Use in the Past Month1,2",434,25,93,316,409,Kentucky
733,Marijuana Use in the Past Year,573,33,156,384,540,Kentucky
734,Marijuana Use in the Past Month,375,20,92,263,355,Kentucky
735,Perceptions of Great Risk from Smoking Marijuana Once a Month,817,91,57,669,726,Kentucky
737,"First Use of Marijuana in the Past Year among Those at Risk for Initiation of Marijuana Use3,4",39,13,20,6,26,Kentucky
738,"Illicit Drug Use Other Than Marijuana in the Past Month1,2",122,7,19,95,115,Kentucky
739,Cocaine Use in the Past Year,55,1,12,43,55,Kentucky
740,Perceptions of Great Risk from Using Cocaine Once a Month,"2,612",184,286,"2,142","2,428",Kentucky
741,Heroin Use in the Past Year5,0,0,2,28,30,Kentucky
742,Perceptions of Great Risk from Trying Heroin Once or Twice,"3,160",206,366,"2,588","2,954",Kentucky
743,Methamphetamine Use in the Past Year,50,0,3,47,49,Kentucky
744,Prescription Pain Reliever Misuse in the Past Year2,122,7,16,99,115,Kentucky
745,"Opioid Misuse in the Past Year2,6",146,7,15,124,139,Kentucky
747,ALCOHOL Alcohol Use in the Past Month,"1,472",23,210,"1,239","1,449",Kentucky
748,Binge Alcohol Use in the Past Month7,718,11,131,576,707,Kentucky
750,Perceptions of Great Risk from Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week,"1,498",138,137,"1,224","1,361",Kentucky
751,Alcohol Use in the Past Month8 (People Aged 12 to 20),74,0,0,0,0,Kentucky
752,"Binge Alcohol Use in the Past Month7,8 (People Aged 12 to 20)",36,0,0,0,0,Kentucky
754,TOBACCO PRODUCTS Tobacco Product Use in the Past Month9,"1,251",13,118,"1,120","1,238",Kentucky
755,Cigarette Use in the Past Month,938,7,81,850,931,Kentucky
756,Perceptions of Great Risk from Smoking One or More Packs of Cigarettes per Day,"2,269",220,256,"1,792","2,049",Kentucky
758,"MENTAL HEALTH MEASURES IN THE PAST YEAR Any Mental Illness4,10",0,0,156,632,788,Kentucky
759,"Serious Mental Illness4,10",0,0,56,175,231,Kentucky
